session_id,project_id,quest_name,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
149074,1110,Participant ID,7716,125631,female,test,26.0,participant_id,92863857,1,test,2024-09-10 10:57:29,2024-09-10 10:57:36
149074,1110,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,125631,female,test,26.0,MDEES_1_RC,92860881,1,Slightly Agree,2024-09-10 10:57:37,2024-09-10 10:59:19
149074,1110,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,125631,female,test,26.0,MDEES_2_NA,92860882,2,Neutral,2024-09-10 10:57:37,2024-09-10 10:59:19
149074,1110,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,125631,female,test,26.0,MDEES_3_S,92860883,3,Slightly Agree,2024-09-10 10:57:37,2024-09-10 10:59:19
149074,1110,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,125631,female,test,26.0,MDEES_4_EA,92860884,4,Slightly Disagree,2024-09-10 10:57:37,2024-09-10 10:59:19
149074,1110,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,125631,female,test,26.0,MDEES_5_S,92860885,5,Neutral,2024-09-10 10:57:37,2024-09-10 10:59:19
149074,1110,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,125631,female,test,26.0,MDEES_6_S,92860886,6,Slightly Agree,2024-09-10 10:57:37,2024-09-10 10:59:19
149074,1110,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,125631,female,test,26.0,MDEES_7_NA,92860887,7,Slightly Agree,2024-09-10 10:57:37,2024-09-10 10:59:19
149074,1110,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,125631,female,test,26.0,MDEES_8_S,92860888,8,Neutral,2024-09-10 10:57:37,2024-09-10 10:59:19
149074,1110,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,125631,female,test,26.0,MDEES_9_EA,92860889,9,Slightly Agree,2024-09-10 10:57:37,2024-09-10 10:59:19
149074,1110,Multi-Dimensional Emotional Empathy Scale (MDEES),7459,125631,female,test,26.0,MDEES_10_FFS,92860890,10,Slightly Disagree,2024-09-10 10:57:37,2024-09-10 10:59:19
